Question,Label,Output1,output_precision,output_recall,output_f1
"Doctor, I have been experiencing sudden and frequent panic attacks. I don't know what to do.","Well, based on what you're telling me, it sounds like you may be suffering from panic disorder. The best course of action is to start with psychotherapy and mental health counseling. Additionally, we should conduct an electrocardiogram to make sure that there are no physical issues causing your panic attacks. We will also need to perform a depression screen and a toxicology screen to rule out any other underlying causes. Finally, I would recommend a comprehensive psychological and psychiatric evaluation and therapy to help manage your symptoms.","Based on the symptoms of sudden and frequent panic attacks described by the patient, the patient may have Panic Disorder. To confirm the diagnosis, it is recommended that the patient undergo medical tests such as Psychotherapy, Mental health counseling, Electrocardiogram, Depression screen (Depression screening), Toxicology screen, and Psychological and psychiatric evaluation and therapy.
The recommended medications that may help treat Panic Disorder include Benztropine. Other possible medications that could be considered based on the symptoms described are Desmopressin for conditions like Intracranial hemorrhage and other related symptoms, and potentially medications for anxiety and nervousness.
",0.8154093027114868,0.8206727504730225,0.8180325627326965
"Doctor, I have been experiencing a hoarse voice for a few weeks now and it's not getting any better despite taking medication. What could be the problem?","It's possible that you have a vocal cord polyp. To confirm this, we need to conduct tracheoscopy and laryngoscopy with a biopsy. We may also need to conduct an occupational therapy assessment such as speech therapy, other diagnostic procedures like an interview or consultation, physical therapy exercises, as well as diagnostic procedures on your nose, mouth, and pharynx to rule out any other underlying conditions. Additionally, we may need to evaluate your eyes and ears for any related conditions, such as ophthalmologic and otologic diagnosis and treatment.","Based on the symptoms of a hoarse voice, the patient may have a condition called vocal cord polyp. To confirm the diagnosis, the patient should undergo a laryngoscopy, which is an examination of the vocal cords using a scope. Recommended medications for vocal cord polyp may include Desloratadine (Clarinex), Olopatadine Ophthalmic, and Dexamethasone-Tobramycin Ophthalmic. It is important to follow up with an ENT specialist for further evaluation and management.
",0.8056164383888245,0.802873432636261,0.8042426109313965
"Hi, Doctor. I think I might have Turner syndrome. ","Okay, in that case, you will need to undergo a complete physical skin exam, an ultrasonography, and some other diagnostic procedures such as an interview, evaluation, and consultation. Additionally, we'll need to perform an echocardiography, examine your breast, and check your eyes and ears for any issues. We'll also do a depression screening to assess your mental health.","Based on the symptoms described, the patient may have Turner syndrome. To confirm the diagnosis, the patient should undergo an Examination of the breast and Hematologic tests (Blood test).
Recommended medications that can help manage Turner syndrome include Ascorbic Acid, Nifedipine, and Somatropin.",0.7651603817939758,0.7863206267356873,0.7755962014198303
"Doctor, I've been experiencing a condition called cryptorchidism. My testicles have not descended properly into the scrotum. What medical tests do I need to take?","You will need to undergo a complete physical skin exam to see the extent of the undescended testicles. Then, we need to conduct Ultrasonography (Ultrasound) to find out the exact location of the testicles. After that, a pelvis exam and rectal examination will be done to determine if the testicles have descended into the pelvic region. If not, then other OR therapeutic procedures related to male genital or nervous system procedures may be required. We will also do an occupational therapy assessment to assess your speech therapy.","Based on the symptoms described, the patient likely has cryptorchidism, where the testicles have not descended properly into the scrotum. To confirm the diagnosis, the patient should undergo an ultrasound (Ultrasonography) and a pelvis exam. These tests can help in diagnosing cryptorchidism accurately.
",0.8153296709060669,0.8162171244621277,0.8157731890678406
"Doctor, I think I've been poisoned. I drank some ethylene glycol by mistake. ","I'm sorry to hear that. We need to run a few tests to determine the extent of the poisoning. We will need to give you intravenous fluid replacement to help flush out the toxin. We'll also need to do hematologic tests, a toxicology screen, and a complete blood count to assess the damage. Additionally, we will need to do an electrocardiogram, measure your glucose level and check your blood-alcohol level.","Based on the symptoms described, the patient is likely suffering from poisoning due to ethylene glycol. To confirm the diagnosis, the patient should undergo toxicology screening, complete blood count (CBC), and a blood alcohol test.
",0.8239734172821045,0.7902451157569885,0.8067569732666016
"Doctor, I've been having discomfort and dryness in my vagina for a while now. I also experience pain during sex. What could be the problem and what tests do I need?","Based on your symptoms, it sounds like you may have atrophic vaginitis. To confirm this, we would need to perform a pelvic exam, a pap smear and a urinalysis. Additionally, to rule out any underlying conditions and ensure comprehensive preventive care, I would recommend a mammogram, breast examination, rectal examination and a complete physical skin exam.","Based on the symptoms described, the patient may have Atrophic Vaginitis, characterized by vaginal dryness, discomfort, and pain during sex. To confirm the diagnosis, the patient should undergo a Pap smear and a pelvic exam. Recommended medications for Atrophic Vaginitis include Estrogens to help alleviate symptoms and improve vaginal health. Additionally, it is essential to address any underlying issues contributing to the condition.
",0.8494499921798706,0.8614345788955688,0.8554003238677979
"Hello doctor, I think I fractured my hand while playing basketball. It hurts a lot and I can't move it properly.","I'm sorry to hear that. Based on your symptoms, I recommend we conduct a radiographic imaging procedure, specifically a plain x-ray, to determine the extent and location of the fracture. We may also need to apply a splint or orthopedic casting to support and immobilize the bone while it heals. In addition, we may consider traction, other wound care, and physical therapy exercises to promote healing and improve mobility.","Based on the symptoms of severe hand pain and limited movement after a basketball injury, the patient may have a fractured hand. To confirm the diagnosis, the patient should undergo a radiographic imaging procedure, such as a plain X-ray of the hand. Recommended medications for a fractured hand may include pain relievers like acetaminophen or ibuprofen, and possibly a muscle relaxant if there is significant muscle spasm. It is also crucial to immobilize the hand with a splint or cast to facilitate proper healing. Additionally, physical therapy exercises may be beneficial for rehabilitation once the fracture starts to heal.
",0.8258517980575562,0.8477423191070557,0.8366539478302002
"Hi Doctor, I have a problem with my mouth. It's painful and there's swelling around it. It's difficult to eat or talk properly.","It sounds like you might have cellulitis or an abscess in your mouth. As a first step, we need to perform a complete physical skin exam to determine the extent of the issue. Depending on the severity of the condition, we might need to perform an excision or incision and drainage. We might also need to do a biopsy to determine the underlying cause. Additionally, wound care management and a culture of the wound may be necessary. If the condition is more severe, we might have to consider other therapeutic procedures on your nose, mouth, and pharynx.","Based on the symptoms of pain, swelling around the mouth, and difficulty eating or talking, the patient may have cellulitis or an abscess of the mouth. To confirm the diagnosis, the patient should undergo a complete physical skin exam, wound culture, and possibly incision and drainage of the affected area.
",0.8632675409317017,0.8208091259002686,0.8415030837059021
"Doctor, I have been having trouble with my eye alignment lately. I often see double and feel eye strain, especially when I read or look at something for a long time. ","Based on your symptoms, it seems like you might have an eye alignment disorder. I recommend that we conduct an ophthalmologic and otologic diagnosis and treatment to properly diagnose your condition. This will involve an eye exam and an evaluation of your ears to assess any potential underlying issues. Additionally, we may need to conduct other diagnostic procedures such as interviews and consultations to get a better understanding of your medical history and any other factors that may be contributing to your symptoms. Once we have a diagnosis, we can explore other therapeutic procedures to treat the problem, such as procedures on your eyelids, conjunctiva, cornea, extraocular muscles, and orbit. Depending on your specific situation, an occupational therapy assessment such as speech therapy may also be recommended to address any related functional impairments.","Based on the symptoms described, the patient may have an eye alignment disorder. To confirm the diagnosis, the patient should undergo an ophthalmic examination and evaluation (Eye exam) to assess the alignment of the eyes.
Recommended medications for eye alignment disorder may include eye muscle exercises and possibly prescription glasses to help with alignment. In some cases, surgery may be recommended to correct the alignment issues.
",0.8622291088104248,0.7976232767105103,0.8286688923835754
"Doctor, I have been experiencing headaches after my recent lumbar puncture. What tests do I need to take?","Based on your symptoms, we would need to perform a number of tests. These include an intravenous fluid replacement, a complete blood count (CBC), hematologic tests, an electrolytes panel, glucose measurement, kidney function tests, and liver function tests. These tests will help us to determine the cause of your headaches and develop an appropriate treatment plan.","Based on the symptoms described, the patient may have developed a headache after the lumbar puncture procedure. To confirm the diagnosis, the patient should undergo hematologic tests (blood tests) to rule out any underlying issues such as cysticercosis. Additional tests that can be considered include Magnetic Resonance Imaging (MRI) or X-ray Computed Tomography (CT) scans.
",0.7978265285491943,0.8089849948883057,0.803367018699646
